Protein Id,Gene Symbol,Description,Group ID,Set1 Peptides,Set1~rq_126_sn_sum,Set1~rq_127n_sn_sum,Set1~rq_127c_sn_sum,Set1~rq_128n_sn_sum,Set1~rq_128c_sn_sum,Set1~rq_129n_sn_sum,Set1~rq_129c_sn_sum,Set1~rq_130n_sn_sum,Set1~rq_130c_sn_sum,Set1~rq_131_sn_sum
sp|P55011|S12A2_HUMAN,SLC12A2,S12A2_HUMAN Solute carrier family 12 member 2,0,39,1900.99,2209.0,3511.02,3176.93,4978.07,1492.34,3724.99,28250.9,1412.47,2711.58
sp|Q76L83|ASXL2_HUMAN,ASXL2,ASXL2_HUMAN Putative Polycomb group protein ASXL2,1,8,749.537,600.227,669.053,916.033,905.891,772.1,949.59,1210.68,740.537,703.96
sp|O60341|KDM1A_HUMAN,KDM1A,KDM1A_HUMAN Lysine-specific histone demethylase 1A,2,39,6546.36,6943.34,3325.21,4810.92,9516.46,4159.4,4975.14,5309.74,6391.85,5233.46
sp|O60248|SOX15_HUMAN,SOX15,SOX15_HUMAN Protein SOX-15,3,4,43.8415,3199.83,55.2522,271.976,37.0822,28.2377,24.2311,21.3634,23.0211,505.694
sp|P37108|SRP14_HUMAN,SRP14,SRP14_HUMAN Signal recognition particle 14 kDa protein,4,17,3732.36,4501.37,2227.5,3376.18,2764.74,3022.35,3858.47,4413.62,3181.37,2171.31
sp|Q96JP5|ZFP91_HUMAN,ZFP91,ZFP91_HUMAN E3 ubiquitin-protein ligase ZFP91,5,12,1178.26,1315.33,1523.65,1261.05,880.799,1606.03,858.322,1139.41,1404.31,1254.89
sp|Q8N697|S15A4_HUMAN,SLC15A4,S15A4_HUMAN Solute carrier family 15 member 4,6,4,222.021,674.464,591.728,1031.62,722.5,618.645,662.846,431.136,252.347,629.234
sp|Q9NQS7|INCE_HUMAN,INCENP,INCE_HUMAN Inner centromere protein,7,27,2137.84,4751.6,4602.36,4675.09,2108.24,3128.09,1742.22,751.317,1958.73,3485.19
sp|Q9Y4H2|IRS2_HUMAN,IRS2,IRS2_HUMAN Insulin receptor substrate 2,8,8,101.884,674.331,77.8073,670.255,180.476,782.817,524.152,834.118,73.5076,415.049
sp|P36578|RL4_HUMAN,RPL4,RL4_HUMAN 60S ribosomal protein L4,9,97,13388.3,12817.8,15476.2,16621.8,13858.4,13972.2,14409.9,15293.4,14788.5,10743.5
sp|Q6SPF0|SAMD1_HUMAN,SAMD1,SAMD1_HUMAN Atherin,11,15,1258.19,1857.72,859.222,1063.48,1813.23,988.757,612.815,853.23,1198.69,1508.54
sp|O60779|S19A2_HUMAN,SLC19A2,S19A2_HUMAN Thiamine transporter 1,12,1,20.497,33.9404,19.0972,72.8798,103.433,70.2778,43.3002,92.3178,48.04,51.9909
sp|O76031|CLPX_HUMAN,CLPX,"CLPX_HUMAN ATP-dependent Clp protease ATP-binding subunit clpX-like, mitochondrial",13,38,5148.64,5614.25,3288.4,8252.41,6110.89,4028.48,4972.53,7823.8,7544.38,5948.26
sp|O15265-2|ATX7_HUMAN,ATXN7,ATX7_HUMAN Isoform b of Ataxin-7,14,6,667.132,488.102,480.931,796.65,957.458,415.218,724.398,540.865,417.657,551.825
sp|Q8WUQ7-2|CATIN_HUMAN,CACTIN,CATIN_HUMAN Isoform 2 of Cactin,15,18,2616.2,6634.25,4525.75,4129.6,3138.12,4238.86,3112.76,3871.87,3175.99,3883.14
sp|A6NIH7|U119B_HUMAN,UNC119B,U119B_HUMAN Protein unc-119 homolog B,16,11,1278.96,1289.36,834.802,960.855,1597.32,860.875,855.386,956.907,871.688,832.03
sp|Q13432|U119A_HUMAN,UNC119,U119A_HUMAN Protein unc-119 homolog A,16,3,73.9291,539.005,632.224,406.942,1385.42,1220.46,778.149,831.241,1474.24,949.606
sp|Q9BTD8|RBM42_HUMAN,RBM42,RBM42_HUMAN RNA-binding protein 42,17,9,2148.25,2079.7,1980.57,1907.82,2191.04,1904.5,2081.19,1401.57,1592.06,2023.83
sp|Q9P258|RCC2_HUMAN,RCC2,RCC2_HUMAN Protein RCC2,18,43,5913.38,4112.81,3956.81,1902.47,6249.32,3884.33,3473.98,4119.2,5127.32,5372.32
sp|Q9H3U1|UN45A_HUMAN,UNC45A,UN45A_HUMAN Protein unc-45 homolog A,19,55,6815.03,2532.95,3997.26,2975.75,12323.2,3914.54,4462.65,3310.72,5317.23,4996.7
sp|Q9P2E5|CHPF2_HUMAN,CHPF2,CHPF2_HUMAN Chondroitin sulfate glucuronyltransferase,20,12,1263.73,683.459,2081.79,1769.39,1125.31,1602.32,1179.99,1713.6,686.622,1145.08
sp|Q9P2K1|C2D2A_HUMAN,CC2D2A,C2D2A_HUMAN Coiled-coil and C2 domain-containing protein 2A,21,1,39.2432,79.7465,160.582,149.432,110.864,134.889,45.847,189.591,56.3092,109.846
sp|Q99523|SORT_HUMAN,SORT1,SORT_HUMAN Sortilin,22,23,8899.29,1533.77,519.712,656.539,4223.15,2892.37,549.099,855.194,6263.39,4500.24
sp|Q9Y2U8|MAN1_HUMAN,LEMD3,MAN1_HUMAN Inner nuclear membrane protein Man1,23,41,3135.54,5244.89,2348.58,6063.6,2970.73,2103.01,5363.03,11030.0,3522.61,3586.94
sp|Q96CC6|RHDF1_HUMAN,RHBDF1,RHDF1_HUMAN Inactive rhomboid protein 1,24,9,694.424,539.445,413.039,433.833,850.508,638.514,667.414,3001.28,861.115,697.329
sp|P30044|PRDX5_HUMAN,PRDX5,"PRDX5_HUMAN Peroxiredoxin-5, mitochondrial",25,26,7691.76,4027.36,6289.96,6184.79,7986.85,5315.28,10296.7,7814.18,13373.5,6019.22
sp|Q15596|NCOA2_HUMAN,NCOA2,NCOA2_HUMAN Nuclear receptor coactivator 2,26,8,957.471,442.085,862.028,394.67,645.961,491.95,1341.04,1228.78,492.777,588.164
sp|Q9Y6Q9|NCOA3_HUMAN,NCOA3,NCOA3_HUMAN Nuclear receptor coactivator 3,26,16,2313.34,1248.93,1388.77,1515.69,3317.25,1197.11,1143.86,867.012,2172.3,1552.24
sp|Q15788|NCOA1_HUMAN,NCOA1,NCOA1_HUMAN Nuclear receptor coactivator 1,26,1,34.6147,9.05091,25.4821,15.8557,20.6491,38.3323,42.2065,34.9451,18.5039,25.1283
sp|Q53GG5-2|PDLI3_HUMAN,PDLIM3,PDLI3_HUMAN Isoform 2 of PDZ and LIM domain protein 3,27,3,61.6204,72.7226,1502.22,136.897,136.172,371.6,67.7452,192.93,144.737,286.172
sp|Q9UPT8|ZC3H4_HUMAN,ZC3H4,ZC3H4_HUMAN Zinc finger CCCH domain-containing protein 4,28,21,2392.45,1804.95,1844.71,2091.77,2936.11,1922.86,2148.07,2366.33,1763.4,2171.24
sp|Q68DK7|MSL1_HUMAN,MSL1,MSL1_HUMAN Male-specific lethal 1 homolog,29,12,1002.81,2089.15,915.322,1161.08,1283.76,778.607,1236.7,1272.59,3483.23,1504.17
sp|Q96L91|EP400_HUMAN,EP400,EP400_HUMAN E1A-binding protein p400,30,41,3924.47,7643.27,3643.98,5631.23,6035.05,3538.52,3760.04,3698.12,3870.2,5955.39
sp|P52701|MSH6_HUMAN,MSH6,MSH6_HUMAN DNA mismatch repair protein Msh6,31,58,8636.69,6794.69,6622.39,3984.44,7182.89,8665.11,9455.07,3327.41,7076.33,7213.17
sp|P20585|MSH3_HUMAN,MSH3,MSH3_HUMAN DNA mismatch repair protein Msh3,31,21,2528.69,2905.8,2194.1,2830.47,3617.64,2402.89,2471.81,1893.26,4294.86,2786.57
sp|A1X283|SPD2B_HUMAN,SH3PXD2B,SPD2B_HUMAN SH3 and PX domain-containing protein 2B,32,16,2622.52,1413.9,4300.0,2377.73,943.962,696.131,3911.91,2507.83,814.326,1785.77
sp|Q5TCZ1|SPD2A_HUMAN,SH3PXD2A,SPD2A_HUMAN SH3 and PX domain-containing protein 2A,32,10,807.672,2248.35,1862.78,1160.21,432.393,1581.85,1318.07,768.757,450.749,1318.57
sp|Q9NRL3|STRN4_HUMAN,STRN4,STRN4_HUMAN Striatin-4,33,13,2734.97,1234.67,1834.27,1507.37,2287.02,2544.93,1782.2,1535.01,2330.84,2005.92
tr|H0YJZ4|H0YJZ4_HUMAN,STRN3,H0YJZ4_HUMAN Striatin-3 (Fragment),33,1,86.3582,57.4763,88.3894,60.7239,49.7135,46.526,108.295,54.7399,145.92,81.6652
sp|O43815|STRN_HUMAN,STRN,STRN_HUMAN Striatin,33,29,5436.49,5338.72,3608.63,3061.3,2719.83,3102.18,4605.59,3652.91,3145.34,3526.91
sp|Q13033-2|STRN3_HUMAN,STRN3,STRN3_HUMAN Isoform Alpha of Striatin-3,33,19,2086.9,1321.19,1863.71,1860.49,2469.32,1863.83,1612.92,1303.6,2794.45,1795.38
tr|H0YJT2|H0YJT2_HUMAN,STRN3,H0YJT2_HUMAN Striatin-3 (Fragment),33,2,306.909,140.414,92.4926,160.301,266.622,419.004,157.379,121.288,251.421,212.975
sp|Q9BQE4|SELS_HUMAN,VIMP,SELS_HUMAN Selenoprotein S,34,7,401.052,1443.81,964.662,1952.29,1381.9,394.193,793.988,1132.31,632.212,1087.02
