Protein Id,Gene Symbol,Description,Group ID,Set4 Peptides,Set4~rq_126_sn_sum,Set4~rq_127n_sn_sum,Set4~rq_127c_sn_sum,Set4~rq_128n_sn_sum,Set4~rq_128c_sn_sum,Set4~rq_129n_sn_sum,Set4~rq_129c_sn_sum,Set4~rq_130n_sn_sum,Set4~rq_130c_sn_sum,Set4~rq_131_sn_sum
sp|P55011|S12A2_HUMAN,SLC12A2,S12A2_HUMAN Solute carrier family 12 member 2,0,32,7785.45,7888.92,3536.96,5384.42,12149.0,5941.86,8216.55,3509.1,2820.25,7183.35
sp|Q76L83|ASXL2_HUMAN,ASXL2,ASXL2_HUMAN Putative Polycomb group protein ASXL2,1,13,2949.08,3419.95,3637.9,2687.85,2582.56,2233.95,3763.67,2676.64,2956.98,2574.8
sp|O60341|KDM1A_HUMAN,KDM1A,KDM1A_HUMAN Lysine-specific histone demethylase 1A,2,51,14756.8,9536.59,13556.7,6871.24,7173.22,6414.04,10670.2,9432.5,11367.4,9002.06
sp|O60248|SOX15_HUMAN,SOX15,SOX15_HUMAN Protein SOX-15,3,3,10.122,212.568,32.6415,78.1178,690.849,20.0542,328.507,45.8072,51.6967,1519.38
sp|P37108|SRP14_HUMAN,SRP14,SRP14_HUMAN Signal recognition particle 14 kDa protein,4,21,5125.38,4231.11,4313.41,4115.28,2931.71,3653.94,4887.52,5441.54,4618.55,2807.39
sp|Q96JP5|ZFP91_HUMAN,ZFP91,ZFP91_HUMAN E3 ubiquitin-protein ligase ZFP91,5,12,1410.09,1605.96,1608.82,2043.85,1236.35,1230.16,2575.27,2013.46,1926.4,1958.31
sp|Q8N697|S15A4_HUMAN,SLC15A4,S15A4_HUMAN Solute carrier family 15 member 4,6,8,371.248,1057.71,1963.76,4434.58,3325.93,1255.94,1498.2,1578.18,2127.52,1747.24
sp|Q9NQS7|INCE_HUMAN,INCENP,INCE_HUMAN Inner centromere protein,7,30,3447.65,6237.54,3071.97,8721.12,7961.44,3560.61,7396.31,3695.31,4571.93,5994.27
sp|Q9Y4H2|IRS2_HUMAN,IRS2,IRS2_HUMAN Insulin receptor substrate 2,8,14,451.987,2909.12,734.898,2272.24,1189.8,2276.38,2485.16,2397.72,438.22,1434.36
sp|P36578|RL4_HUMAN,RPL4,RL4_HUMAN 60S ribosomal protein L4,9,100,21719.1,22942.0,17592.9,22053.1,24241.7,35155.6,22913.7,34828.1,22946.4,16956.4
sp|P30988|CALCR_HUMAN,CALCR,CALCR_HUMAN Calcitonin receptor,10,1,507.811,488.127,462.047,535.344,630.63,389.468,884.062,518.249,437.171,155.256
sp|Q6SPF0|SAMD1_HUMAN,SAMD1,SAMD1_HUMAN Atherin,11,17,3935.71,2294.29,1497.76,1612.64,2028.08,2861.05,4721.86,2655.9,1325.3,2722.38
sp|O60779|S19A2_HUMAN,SLC19A2,S19A2_HUMAN Thiamine transporter 1,12,2,309.006,119.03,533.763,190.591,420.604,450.61,206.843,301.58,199.491,234.229
sp|O76031|CLPX_HUMAN,CLPX,"CLPX_HUMAN ATP-dependent Clp protease ATP-binding subunit clpX-like, mitochondrial",13,34,5734.76,6527.09,6158.57,7878.11,10940.5,5215.66,9840.75,6890.04,5145.32,6870.06
sp|O15265-2|ATX7_HUMAN,ATXN7,ATX7_HUMAN Isoform b of Ataxin-7,14,4,402.502,680.205,787.416,1150.4,1566.86,611.906,1114.76,1010.31,641.243,1223.97
sp|Q8WUQ7-2|CATIN_HUMAN,CACTIN,CATIN_HUMAN Isoform 2 of Cactin,15,20,3687.89,4821.72,3276.82,4411.62,4267.01,3668.31,4348.06,4160.08,2516.96,3394.08
sp|A6NIH7|U119B_HUMAN,UNC119B,U119B_HUMAN Protein unc-119 homolog B,16,8,829.55,790.732,1383.15,1092.91,687.432,981.162,1054.47,1783.51,2972.89,1073.23
sp|Q13432|U119A_HUMAN,UNC119,U119A_HUMAN Protein unc-119 homolog A,16,4,2356.57,1237.55,1563.68,829.229,493.656,1331.49,722.385,1281.07,2979.66,1721.02
sp|Q9BTD8|RBM42_HUMAN,RBM42,RBM42_HUMAN RNA-binding protein 42,17,11,1702.27,1824.88,1635.33,2002.23,1924.34,1639.21,1933.79,1705.45,1056.56,1558.47
sp|Q9P258|RCC2_HUMAN,RCC2,RCC2_HUMAN Protein RCC2,18,53,17724.0,12131.0,13025.2,4395.98,3125.1,13858.9,11400.7,11464.9,8390.41,10633.3
sp|Q9H3U1|UN45A_HUMAN,UNC45A,UN45A_HUMAN Protein unc-45 homolog A,19,57,11787.4,11738.2,6638.47,6533.95,5317.76,15524.1,10415.6,7529.28,13936.5,10549.5
sp|Q9P2E5|CHPF2_HUMAN,CHPF2,CHPF2_HUMAN Chondroitin sulfate glucuronyltransferase,20,18,1455.63,2105.03,1754.05,4084.75,3369.74,6084.99,1680.42,2328.93,1417.73,2653.08
sp|Q9P2K1|C2D2A_HUMAN,CC2D2A,C2D2A_HUMAN Coiled-coil and C2 domain-containing protein 2A,21,2,216.731,230.991,216.481,288.995,261.481,268.227,305.463,282.213,173.606,236.215
sp|Q99523|SORT_HUMAN,SORT1,SORT_HUMAN Sortilin,22,29,18754.5,1820.31,5506.93,1136.36,1355.6,826.469,1456.18,3356.82,7816.09,5106.82
sp|Q9Y2U8|MAN1_HUMAN,LEMD3,MAN1_HUMAN Inner nuclear membrane protein Man1,23,54,9635.96,8498.6,13687.0,12575.5,14721.6,3506.84,11695.1,7168.42,8575.99,7229.71
sp|Q96CC6|RHDF1_HUMAN,RHBDF1,RHDF1_HUMAN Inactive rhomboid protein 1,24,10,1872.33,880.953,2717.59,1866.2,799.188,571.0,2047.59,1086.33,2590.96,1833.66
sp|P30044|PRDX5_HUMAN,PRDX5,"PRDX5_HUMAN Peroxiredoxin-5, mitochondrial",25,30,5980.65,4756.07,16743.3,9335.56,7426.85,8889.34,12839.6,5878.5,9597.42,6140.35
sp|Q15596|NCOA2_HUMAN,NCOA2,NCOA2_HUMAN Nuclear receptor coactivator 2,26,15,4582.32,1797.59,6139.42,1315.62,485.954,1311.09,1086.45,1518.5,2433.22,1579.4
sp|Q9Y6Q9|NCOA3_HUMAN,NCOA3,NCOA3_HUMAN Nuclear receptor coactivator 3,26,15,3096.57,2869.02,1029.45,2517.22,1430.21,1876.08,1640.74,2933.38,2394.23,3286.52
sp|Q53GG5-2|PDLI3_HUMAN,PDLIM3,PDLI3_HUMAN Isoform 2 of PDZ and LIM domain protein 3,27,3,1262.39,256.226,220.222,76.2452,113.726,148.873,290.188,1705.81,224.442,423.433
sp|Q9UPT8|ZC3H4_HUMAN,ZC3H4,ZC3H4_HUMAN Zinc finger CCCH domain-containing protein 4,28,35,6338.59,6298.18,6605.17,8924.04,4740.8,4796.77,8364.13,5970.26,4958.26,7142.48
sp|Q68DK7|MSL1_HUMAN,MSL1,MSL1_HUMAN Male-specific lethal 1 homolog,29,15,2335.72,1720.21,1562.64,2048.89,2172.18,1781.4,2685.27,2371.47,2570.63,2379.14
sp|Q96L91|EP400_HUMAN,EP400,EP400_HUMAN E1A-binding protein p400,30,61,6775.18,7371.34,6968.77,6959.1,10941.7,7741.63,13873.3,7620.38,6619.38,7612.96
sp|Q6ZTU2-6|E400N_HUMAN,EP400NL,E400N_HUMAN Isoform 5 of EP400 N-terminal-like protein,30,4,128.067,78.2714,190.315,291.908,477.202,265.77,170.714,273.97,568.476,248.814
sp|P52701|MSH6_HUMAN,MSH6,MSH6_HUMAN DNA mismatch repair protein Msh6,31,65,13246.7,16829.9,21993.3,11081.8,4479.71,14184.5,12921.9,7201.91,12335.0,10612.8
sp|P20585|MSH3_HUMAN,MSH3,MSH3_HUMAN DNA mismatch repair protein Msh3,31,27,6113.14,7147.63,3961.55,6077.42,2992.81,3605.17,5351.66,3201.81,6310.87,3983.42
sp|A1X283|SPD2B_HUMAN,SH3PXD2B,SPD2B_HUMAN SH3 and PX domain-containing protein 2B,32,30,9657.26,16776.9,5761.15,2590.41,3348.5,8963.72,2293.55,12310.7,1201.79,5588.62
sp|Q5TCZ1|SPD2A_HUMAN,SH3PXD2A,SPD2A_HUMAN SH3 and PX domain-containing protein 2A,32,12,705.037,1682.17,856.272,5425.22,1474.09,2152.76,940.994,1847.18,426.333,2308.34
sp|Q9NRL3|STRN4_HUMAN,STRN4,STRN4_HUMAN Striatin-4,33,18,5999.3,3369.23,5691.96,3656.03,2944.83,3352.4,2546.27,4586.68,4001.85,4090.59
sp|O43815|STRN_HUMAN,STRN,STRN_HUMAN Striatin,33,31,6260.18,6679.48,7174.52,5123.41,5817.08,5278.14,4091.7,5022.75,5995.09,6252.84
sp|Q13033-2|STRN3_HUMAN,STRN3,STRN3_HUMAN Isoform Alpha of Striatin-3,33,18,4077.37,2594.38,2610.62,2360.36,2108.9,3054.34,1695.56,2552.53,3115.81,2309.34
tr|H0YJT2|H0YJT2_HUMAN,STRN3,H0YJT2_HUMAN Striatin-3 (Fragment),33,3,1369.92,521.175,384.083,370.876,340.02,292.339,439.719,337.19,667.238,430.396
sp|Q9BQE4|SELS_HUMAN,VIMP,SELS_HUMAN Selenoprotein S,34,8,1170.32,2337.29,1443.31,1758.44,2290.3,1098.15,2269.5,1276.33,1152.32,1258.03
sp|Q8WWH5|TRUB1_HUMAN,TRUB1,TRUB1_HUMAN Probable tRNA pseudouridine synthase 1,35,14,2305.7,1848.96,3089.2,1936.78,1966.73,1899.61,1587.33,2409.89,2232.19,2174.33
sp|O95602|RPA1_HUMAN,POLR1A,RPA1_HUMAN DNA-directed RNA polymerase I subunit RPA1,36,104,11418.5,11923.1,11046.7,18894.7,32136.9,13581.6,18377.2,27488.5,10900.1,15044.0
sp|O14802|RPC1_HUMAN,POLR3A,RPC1_HUMAN DNA-directed RNA polymerase III subunit RPC1,36,56,13001.5,7579.81,11547.1,10305.7,11835.2,15034.1,9009.94,12655.6,10042.5,9953.53
sp|O60518|RNBP6_HUMAN,RANBP6,RNBP6_HUMAN Ran-binding protein 6,37,25,5515.1,2068.66,2447.54,9057.0,2714.66,6059.88,2960.62,5977.76,7608.81,4352.68
sp|O00410-3|IPO5_HUMAN,IPO5,IPO5_HUMAN Isoform 3 of Importin-5,37,78,17932.8,9690.53,7072.3,10547.5,6630.94,18466.0,9547.6,21406.0,12002.4,13471.0
sp|O95625|ZBT11_HUMAN,ZBTB11,ZBT11_HUMAN Zinc finger and BTB domain-containing protein 11,38,21,2655.01,2891.97,2308.24,3642.09,3445.74,2860.04,3115.12,3702.74,2570.65,3938.87
sp|Q96D53|ADCK4_HUMAN,ADCK4,ADCK4_HUMAN Uncharacterized aarF domain-containing protein kinase 4,39,19,2551.07,1805.81,3537.52,2390.84,6897.66,1429.22,3988.58,3405.59,2552.85,3285.09
sp|Q96GQ5|CP058_HUMAN,C16orf58,CP058_HUMAN UPF0420 protein C16orf58,40,16,2123.46,2052.9,4306.13,2128.18,2436.59,3023.74,2948.5,2258.85,2361.82,2137.17
sp|Q8N8D1|PDCD7_HUMAN,PDCD7,PDCD7_HUMAN Programmed cell death protein 7,41,7,958.177,951.183,782.568,1033.98,1153.13,852.814,1026.7,864.376,647.781,933.297
sp|P59768|GBG2_HUMAN,GNG2,GBG2_HUMAN Guanine nucleotide-binding protein G(I)/G(S)/G(O) subunit gamma-2,42,1,27.1004,70.2924,25.6749,112.68,43.0785,32.0641,141.204,273.656,24.5282,47.9545
sp|O95159|ZFPL1_HUMAN,ZFPL1,ZFPL1_HUMAN Zinc finger protein-like 1,43,21,2860.6,3848.21,6950.83,2913.95,2707.65,2460.35,3185.8,2185.02,6225.0,3755.86
sp|Q6P2E9|EDC4_HUMAN,EDC4,EDC4_HUMAN Enhancer of mRNA-decapping protein 4,45,58,13539.0,8724.99,13217.1,7079.3,4682.04,14774.7,11976.6,9502.13,12185.3,7219.39
sp|Q9UNF1|MAGD2_HUMAN,MAGED2,MAGD2_HUMAN Melanoma-associated antigen D2,46,40,5804.49,2771.8,9974.25,3760.8,1612.9,24827.9,2649.58,5553.02,17050.6,8034.95
sp|Q9Y5V3-2|MAGD1_HUMAN,MAGED1,MAGD1_HUMAN Isoform 2 of Melanoma-associated antigen D1,46,18,2857.34,1593.38,1784.52,2783.08,1875.99,4784.24,1282.1,2118.49,4068.27,3222.44
sp|Q12816|TROP_HUMAN,TRO,TROP_HUMAN Trophinin,46,4,645.908,313.378,1059.62,427.921,185.657,2750.8,359.349,641.778,2019.57,624.379
sp|Q9NZQ3|SPN90_HUMAN,NCKIPSD,SPN90_HUMAN NCK-interacting protein with SH3 domain,47,14,2181.75,1747.97,1746.69,2141.16,1648.43,2364.9,2242.23,3273.31,2827.41,3156.17
sp|Q96QE3|ATAD5_HUMAN,ATAD5,ATAD5_HUMAN ATPase family AAA domain-containing protein 5,48,14,1483.03,1946.01,1093.23,2297.3,4170.59,996.921,2552.24,2995.88,1924.23,1674.07
